id,web_name,full_name,position,team,now_cost,roll_minutes,roll_total_points,roll_ict_index,roll_threat,roll_creativity,roll_influence,roll_bps,roll_expected_goal_involvements,roll_expected_goals_conceded,roll_starts,roll_goals_scored,roll_assists,roll_clean_sheets,roll_goals_conceded,roll_bonus,roll_defensive_contribution,roll_tackles,roll_clearances_blocks_interceptions,roll_recoveries,games_played_so_far,ep_next,ep_this,total_points,points_per_game,form,status,chance_of_playing_next_round,chance_of_playing_this_round,selected_by_percent,news,matched_last_season
11,Mosquera,Cristhian Mosquera,DEF,1,55,46.4,2.2,1.9,1.2,7.1,10.52,7.4,0.024,0.43599999999999994,0.4,0.0,0.0,0.2,0.2,0.0,3.6,1.2,2.4,1.4,38.0,2.5,,40,2.0,0.0,a,,,16.9,,True
12,Saka,Bukayo Saka,MID,1,95,44.6,4.8,5.54,13.2,24.34,17.64,14.6,0.39799999999999996,0.242,0.6,0.2,0.4,0.4,0.0,0.8,4.2,1.0,0.8,2.4,38.0,3.2,,157,5.1,0.0,a,,,10.6,,True
13,Rice,Declan Rice,MID,1,75,66.6,3.0,2.5,2.4,10.78,11.84,11.2,0.098,0.508,0.8,0.0,0.0,0.8,0.0,0.0,8.2,1.4,3.4,3.4,38.0,2.6,,184,5.1,0.0,a,,,22.3,,True
14,Eze,Eberechi Eze,MID,1,65,56.4,3.2,3.44,16.2,8.66,9.64,13.8,0.274,0.41200000000000003,0.8,0.2,0.0,0.6,0.2,0.0,2.6,0.2,0.2,2.2,38.0,2.3,,113,3.4,0.0,a,,,3.3,,True
15,Ødegaard,Martin Ødegaard,MID,1,65,40.6,2.0,2.88,4.4,15.38,8.799999999999997,8.2,0.12600000000000003,0.39,0.4,0.0,0.2,0.4,0.0,0.0,2.6,0.4,0.0,2.2,38.0,2.3,,74,3.1,0.0,a,,,3.0,,True
16,Madueke,Noni Madueke,MID,1,65,43.6,3.2,4.3,16.8,15.179999999999996,11.079999999999998,11.8,0.184,0.348,0.4,0.2,0.0,0.4,0.0,0.6,2.4,0.0,0.6,1.8,38.0,2.3,,72,2.8,0.0,a,,,0.4,,True
17,Merino,Mikel Merino Zazón,MID,1,60,5.6,0.2,0.2,1.4,0.9599999999999985,0.0,-0.4,0.074,0.15400000000000003,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.4,38.0,2.1,,67,3.0,0.0,a,,,1.2,,True
18,Martinelli,Gabriel Martinelli Silva,MID,1,65,25.6,1.6,2.6,10.6,8.74,6.8,6.4,0.1,0.324,0.2,0.0,0.2,0.0,0.2,0.4,1.8,0.2,0.0,1.6,38.0,2.3,,57,1.9,0.0,a,,,0.3,,True
19,Zubimendi,Martín Zubimendi Ibáñez,MID,1,55,47.2,2.0,1.86,1.8,8.8,7.840000000000001,9.6,0.028000000000000004,0.496,0.4,0.0,0.0,0.2,0.2,0.0,5.6,1.4,1.8,2.4,38.0,2.0,,133,3.5,0.0,a,,,1.5,,True
20,Dowman,Max Dowman,MID,1,55,14.6,0.8,0.58,1.6,3.4200000000000004,0.8,1.6,0.048,0.041999999999999996,0.2,0.0,0.0,0.2,0.0,0.0,1.8,0.0,0.2,1.6,38.0,2.0,,16,2.7,0.0,a,,,0.2,,True
21,Nørgaard,Christian Nørgaard,MID,1,50,9.0,0.2,0.32,0.6,1.02,1.52,1.8,0.014000000000000002,0.01,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.4,0.0,38.0,1.5,,7,1.0,0.0,a,,,0.3,,True
22,Nwaneri,Ethan Nwaneri,MID,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,,8,1.3,0.0,a,,,0.0,,True
23,Fábio Vieira,Fábio Ferreira Vieira,MID,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.0,,0,0.0,0.0,a,,,0.0,,True
24,Nelson,Reiss Nelson,MID,1,55,3.6,1.0,0.8,0.8,2.96,4.119999999999999,3.2,0.004,0.202,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,38.0,2.0,,13,1.3,0.0,a,,,0.0,,True
25,Gyökeres,Viktor Gyökeres,FWD,1,75,46.6,4.2,5.42,22.8,11.459999999999999,19.92,16.6,0.43600000000000005,0.554,0.4,0.4,0.2,0.4,0.2,0.6,2.4,0.2,0.6,1.6,38.0,2.3,,128,3.6,0.0,a,,,13.0,,True
26,Havertz,Kai Havertz,FWD,1,75,34.6,3.4,4.859999999999999,15.6,16.72,16.2,14.0,0.266,0.442,0.4,0.2,0.4,0.2,0.2,0.6,1.6,0.6,0.6,0.4,38.0,2.3,,36,3.0,0.0,a,,,4.0,,True
27,G.Jesus,Gabriel Fernando de Jesus,FWD,1,60,20.0,1.2,2.12,10.6,3.5799999999999996,6.959999999999999,3.8,0.182,0.08,0.2,0.2,0.0,0.2,0.0,0.0,0.8,0.0,0.6,0.2,38.0,2.0,,24,1.7,0.0,a,,,0.4,,True
557,Tzolis,Christos Tzolis,MID,1,65,47.87407407407407,2.548148148148148,3.3574074074074076,10.411111111111111,12.292592592592591,10.88888888888889,9.829629629629629,0.18355555555555558,0.7384814814814815,0.5333333333333333,0.12222222222222223,0.1,0.13703703703703704,0.7444444444444445,0.24074074074074073,3.6555555555555554,0.7481481481481481,0.8851851851851852,2.0407407407407407,0.0,2.3,,0,0.0,0.0,a,,,1.7,,False
28,Martinez,Emiliano Martínez Romero,GK,2,50,72.0,2.6,2.68,0.0,2.0,24.880000000000003,13.6,0.002,1.078,0.8,0.0,0.2,0.0,1.4,0.2,0.0,0.0,0.2,7.2,38.0,2.6,,120,3.8,0.0,a,,,4.6,,True
29,M.Bizot,Marco Bizot,GK,2,45,18.0,0.4,0.42000000000000004,0.0,0.0,4.2,2.0,0.0,0.268,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.6,38.0,1.9,,16,2.3,0.0,a,,,0.1,,True
30,Digne,Lucas Digne,DEF,2,45,39.2,1.4,1.44,1.0,6.56,6.8,4.2,0.050000000000000024,0.5559999999999999,0.4,0.0,0.2,0.0,0.6,0.0,2.2,0.6,1.6,0.6,38.0,1.7,,97,3.1,0.0,a,,,1.4,,True
31,Konsa,Ezri Konsa Ngoyo,DEF,2,45,54.0,0.8,1.1,0.4,0.7000000000000001,9.679999999999998,6.4,0.005999999999999978,0.8800000000000001,0.6,0.0,0.0,0.0,1.0,0.0,3.0,0.2,2.8,2.4,38.0,1.7,,100,2.9,0.0,a,,,17.4,,True
32,Cash,Matty Cash,DEF,2,45,78.8,1.8,3.5200000000000005,1.6,16.619999999999997,17.0,9.2,0.04600000000000003,1.076,0.8,0.0,0.2,0.0,1.4,0.2,4.8,2.6,2.2,1.6,38.0,1.7,,117,3.3,0.0,a,,,7.8,,True
33,Mings,Tyrone Mings,DEF,2,45,54.0,1.0,1.3599999999999999,1.8,1.6000000000000003,10.319999999999999,3.4,0.04999999999999999,0.8240000000000001,0.6,0.0,0.0,0.0,1.0,0.0,4.2,0.2,4.0,2.8,38.0,1.7,,50,2.9,0.0,a,,,0.2,,True
34,Pau,Pau Torres,DEF,2,45,39.4,1.2,1.3800000000000001,4.8,1.0,7.92,3.8,0.14400000000000002,0.5479999999999999,0.4,0.0,0.2,0.0,0.6,0.0,2.2,0.4,1.8,1.0,38.0,1.7,,64,3.0,0.0,a,,,0.2,,True
35,Bogarde,Lamare Bogarde,MID,2,50,49.0,1.2,0.6,0.0,1.08,4.8,2.8,0.002,0.678,0.6,0.0,0.0,0.0,0.8,0.0,2.4,1.2,1.2,2.0,38.0,1.5,,40,1.4,0.0,a,,,0.1,,True
36,Maatsen,Ian Maatsen,DEF,2,45,51.6,1.6,2.38,4.0,9.459999999999999,10.319999999999999,3.6,0.042,0.8459999999999999,0.6,0.0,0.0,0.0,1.2,0.2,5.0,1.4,3.6,1.6,38.0,1.7,,54,1.8,0.0,a,,,0.6,,True
37,Lindelöf,Victor Lindelöf,DEF,2,45,56.0,1.0,0.9,0.0,1.5399999999999998,7.56,5.0,0.006,0.8059999999999998,0.8,0.0,0.0,0.0,1.0,0.0,3.2,0.4,2.8,1.0,38.0,1.7,,29,1.7,0.0,a,,,0.2,,True
38,A.García,Andrés García,DEF,2,40,9.0,0.2,0.33999999999999997,0.4,0.1,2.92,1.0,0.0,0.238,0.2,0.0,0.0,0.0,0.2,0.0,1.8,0.8,1.0,0.4,38.0,1.0,,5,0.8,0.0,a,,,1.5,,True
39,Nedeljkovic,Kosta Nedeljkovic,DEF,2,40,30.31111111111111,1.1901234567901235,1.1790123456790123,1.9753086419753085,3.4790123456790125,6.311111111111111,4.567901234567901,0.03967901234567901,0.48980246913580244,0.34074074074074073,0.019753086419753086,0.029629629629629627,0.07407407407407407,0.471604938271605,0.07407407407407407,2.180246913580247,0.6222222222222222,1.5382716049382716,1.1876543209876544,0.0,1.0,,0,0.0,0.0,a,,,0.4,,False
41,Buendía,Emiliano Buendía Stati,MID,2,60,53.6,3.4,4.42,14.8,13.520000000000005,15.880000000000004,16.6,0.11400000000000002,0.736,0.6,0.2,0.0,0.0,0.6,0.4,6.8,2.2,1.8,2.8,38.0,2.1,,102,2.8,0.0,a,,,0.8,,True
42,Guessand,Evann Guessand,MID,2,55,5.8,0.4,0.1600000000000002,0.8,0.16,0.5199999999999985,1.2,0.02,0.348,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.2,38.0,2.0,,44,2.1,0.0,a,,,0.0,,True
44,Bailey,Leon Bailey,MID,2,55,23.2,1.6,1.28,2.0,7.5200000000000005,3.2400000000000007,5.4,0.088,0.332,0.2,0.0,0.2,0.0,0.2,0.0,3.0,0.6,0.8,1.6,38.0,2.0,,21,1.6,0.0,a,,,0.1,,True
45,McGinn,John McGinn,MID,2,55,50.0,2.8,5.32,14.8,22.0,16.200000000000003,14.6,0.20800000000000002,0.7819999999999999,0.6,0.2,0.2,0.0,0.8,0.0,2.6,0.4,0.2,2.0,38.0,2.0,,103,3.4,0.0,a,,,2.7,,True
46,Barkley,Ross Barkley,MID,2,50,61.8,3.4,3.4199999999999995,12.0,9.44,12.919999999999998,10.6,0.184,1.0559999999999998,0.6,0.2,0.2,0.0,1.4,0.4,3.6,0.8,0.2,2.6,38.0,1.5,,56,2.7,0.0,a,,,0.2,,True
47,Kamara,Boubacar Kamara,MID,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.1,,61,3.4,0.0,d,75.0,,0.1,Knee injury - 75% chance of playing,True
48,Onana,Amadou Onana,MID,2,50,3.4,0.2,0.1,0.0,0.3,0.7199999999999986,1.0,0.0,0.026000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.0,38.0,0.0,,76,3.0,0.0,i,0.0,,0.0,Knee injury - Unknown return date,True
49,Iling Jr,Samuel Iling-Junior,MID,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.5,,0,0.0,0.0,a,,,0.0,,True
50,Burrowes,Bradley Burrowes,MID,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,,1,1.0,0.0,a,,,0.9,,True
51,George Hemmings,George Hemmings,MID,2,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,,2,1.0,0.0,a,,,0.3,,True
52,Alysson,Alysson Edward Franco da Rocha dos Santos,MID,2,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.5,,3,1.0,0.0,a,,,0.0,,True
53,Manzambi,Johan Manzambi,MID,2,60,47.87407407407407,2.548148148148148,3.3574074074074076,10.411111111111111,12.292592592592591,10.88888888888889,9.829629629629629,0.18355555555555558,0.7384814814814815,0.5333333333333333,0.12222222222222223,0.1,0.13703703703703704,0.7444444444444445,0.24074074074074073,3.6555555555555554,0.7481481481481481,0.8851851851851852,2.0407407407407407,0.0,2.1,,0,0.0,0.0,a,,,2.5,,False
54,Gomes,Joao Gomes,MID,2,55,29.446280991735538,1.3173553719008264,1.4985123966942149,3.4991735537190083,6.0142148760330585,5.479338842975206,5.80495867768595,0.06743801652892562,0.49214876033057847,0.3256198347107438,0.021487603305785124,0.05619834710743802,0.0628099173553719,0.4859504132231405,0.07603305785123966,2.9950413223140493,0.6347107438016528,0.8396694214876033,1.6082644628099174,0.0,2.0,,85,3.0,0.0,a,,,0.3,,False
55,Watkins,Ollie Watkins,FWD,2,80,75.8,8.0,10.179999999999998,53.0,8.28,40.4,33.0,0.674,1.1199999999999999,0.8,1.0,0.2,0.0,1.2,1.8,1.4,0.2,0.6,0.6,38.0,2.5,,167,4.5,0.0,a,,,12.4,,True
56,Abraham,Tammy Abraham,FWD,2,55,13.8,0.4,0.10000000000000017,0.8,0.26,0.04,0.4,0.057999999999999996,0.22599999999999998,0.2,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.2,0.2,38.0,0.0,,23,1.9,0.0,i,0.0,,0.0,Shoulder injury - Expected back 23 Aug,True
160,Garnacho,Alejandro Garnacho Ferreyra,MID,2,60,9.2,0.4,0.6399999999999999,3.4,2.2600000000000002,0.8,0.4,0.04,0.18,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.4,0.0,0.2,38.0,2.1,,56,2.3,0.0,a,,,1.1,,True
57,Petrović,Đorđe Petrović,GK,3,45,90.0,3.8,1.8399999999999999,0.0,0.0,18.4,16.2,0.0,1.29,1.0,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.4,7.2,38.0,1.9,,124,3.3,0.0,a,,,3.6,,True
58,Forster,Fraser Forster,GK,3,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,,0,0.0,0.0,a,,,3.1,,True
59,Dennis,Will Dennis,GK,3,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,,0,0.0,0.0,a,,,0.2,,True
60,Hill,James Hill,DEF,3,55,90.0,4.2,3.1399999999999997,2.8,8.78,19.72,14.6,0.054000000000000006,1.29,1.0,0.0,0.0,0.4,0.8,0.4,10.2,1.6,8.6,3.6,38.0,2.5,,110,3.8,0.0,a,,,1.3,,True
61,Truffert,Adrien Truffert,DEF,3,55,90.0,5.8,6.4799999999999995,9.6,26.300000000000004,28.8,24.8,0.20600000000000002,1.29,1.0,0.0,0.4,0.4,0.8,1.0,6.6,3.2,3.4,4.6,38.0,2.5,,165,4.3,0.0,a,,,4.6,,True
62,Diakité,Bafodé Diakité,DEF,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.2,,46,2.6,0.0,a,,,0.2,,True
63,Milosavljević,Veljko Milosavljevic,DEF,3,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.2,,19,2.7,0.0,a,,,0.1,,True
64,Smith,Adam Smith,DEF,3,45,53.6,3.8,1.46,0.0,3.4599999999999995,11.08,12.4,0.006,0.8440000000000001,0.6,0.0,0.2,0.4,0.2,0.4,3.4,0.6,2.8,1.4,38.0,1.7,,58,2.6,0.0,a,,,0.1,,True
65,J.Araujo,Julián Araujo Zúñiga,DEF,3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.7,,0,0.0,0.0,a,,,0.1,,True
66,Soler,Julio Soler Barreto,DEF,3,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,,3,1.0,0.0,a,,,0.6,,True
67,Rayan,Rayan Vitor Simplício Rocha,MID,3,65,68.2,5.6,5.72,25.6,7.7,23.8,17.8,0.326,0.8560000000000001,0.8,0.6,0.0,0.6,0.6,0.2,6.4,0.6,3.0,2.8,38.0,2.3,,67,4.5,0.0,a,,,3.4,,True
68,Tavernier,Marcus Tavernier,MID,3,60,86.4,3.8,7.74,19.4,37.62,20.520000000000003,20.0,0.31000000000000016,1.042,1.0,0.2,0.0,0.4,0.6,0.6,7.0,1.0,1.4,4.6,38.0,2.1,,137,4.0,0.0,a,,,1.9,,True
69,Scott,Alex Scott,MID,3,60,72.0,3.0,3.4800000000000004,3.8,18.779999999999994,12.120000000000001,13.4,0.126,0.876,0.8,0.0,0.0,0.4,0.6,0.0,11.0,1.4,3.2,6.4,38.0,2.1,,136,3.7,0.0,a,,,1.6,,True
70,Kluivert,Justin Kluivert,MID,3,60,6.2,0.2,0.2,1.4,0.2,0.27999999999999997,0.0,0.016,0.23600000000000004,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.2,0.4,38.0,2.1,,41,2.0,0.0,a,,,0.9,,True
71,Cook,Lewis Cook,MID,3,50,0.4,0.4,0.04,0.0,0.09999999999999858,0.16,1.2,0.0,0.10200000000000001,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,38.0,1.5,,40,2.2,0.0,a,,,0.1,,True
72,Gannon-Doak,Ben Gannon-Doak,MID,3,50,7.4,0.4,0.5800000000000001,4.4,0.58,0.8,1.4,0.04,0.246,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.6,38.0,1.5,,11,1.4,0.0,a,,,0.1,,True
73,Adams,Tyler Adams,MID,3,50,62.4,3.0,2.84,1.0,12.52,14.959999999999999,11.8,0.05600000000000001,0.958,0.6,0.0,0.2,0.2,0.6,0.0,8.8,2.2,3.0,3.6,38.0,1.5,,77,3.1,0.0,a,,,0.7,,True
74,Brooks,David Brooks,MID,3,50,20.6,1.8,2.0599999999999996,6.4,8.88,5.2,4.0,0.22199999999999998,0.352,0.2,0.0,0.2,0.2,0.2,0.0,1.6,0.4,0.2,1.0,38.0,1.5,,59,1.9,0.0,a,,,0.2,,True
75,Christie,Ryan Christie,MID,3,50,26.8,0.2,2.04,11.2,5.58,3.6799999999999997,4.2,0.05,0.332,0.4,0.0,0.0,0.0,0.2,0.0,3.4,0.6,0.6,2.2,38.0,0.0,,47,1.8,0.0,s,0.0,,0.0,Suspended until 29 Aug,True
76,Tóth.A,Alex Tóth,MID,3,50,11.6,0.6,0.82,0.8,5.340000000000001,2.12,3.0,0.026000000000000002,0.34800000000000003,0.2,0.0,0.0,0.0,0.4,0.0,1.4,0.0,0.8,0.6,38.0,1.5,,8,0.9,0.0,a,,,0.0,,True
77,Adli,Amine Adli,MID,3,50,10.0,0.8,0.5600000000000003,1.8,2.6,1.56,1.4,0.016,0.3539999999999999,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.4,0.2,0.4,38.0,1.5,,67,2.2,0.0,a,,,0.2,,True
78,Kroupi.Jr,Junior Kroupi,MID,3,75,73.2,5.2,5.72,24.4,10.379999999999999,22.96,19.2,0.42799999999999994,0.7819999999999999,1.0,0.6,0.0,0.6,0.4,1.0,3.2,0.2,1.0,2.0,38.0,0.0,,113,3.4,0.0,i,0.0,,6.2,Foot injury - Unknown return date,True
79,Evanilson,Francisco Evanilson de Lima Barbosa,FWD,3,60,74.2,2.2,2.8,12.8,10.86,4.24,8.8,0.29399999999999993,0.8059999999999998,1.0,0.0,0.2,0.4,0.6,0.0,5.0,0.6,2.0,2.4,38.0,2.0,,115,3.2,0.0,a,,,2.0,,True
80,Enes Ünal,Enes Ünal,FWD,3,55,7.8,0.8,1.0,3.6,2.4000000000000004,3.8800000000000003,4.4,0.03199999999999999,0.4,0.0,0.0,0.0,0.0,0.2,0.0,1.6,0.0,1.2,0.4,38.0,1.8,,27,1.2,0.0,a,,,0.2,,True
81,Rodríguez,Álvaro Rodríguez,FWD,3,60,47.03529411764706,2.764705882352941,3.3376470588235296,14.705882352941176,6.995294117647059,11.856470588235295,10.529411764705882,0.25317647058823534,0.687764705882353,0.5764705882352942,0.24705882352941178,0.0823529411764706,0.1647058823529412,0.6470588235294118,0.3058823529411765,2.3529411764705883,0.3647058823529412,0.8117647058823529,1.1764705882352942,0.0,2.0,,0,0.0,0.0,a,,,0.3,,False
566,Silva,António João Pereira de Albuquerque Tavares da Silva,DEF,3,50,48.37931034482759,1.817241379310345,2.026206896551724,4.348275862068966,4.8837931034482756,11.00551724137931,6.6482758620689655,0.06762068965517241,0.7361379310344828,0.5482758620689655,0.013793103448275864,0.027586206896551727,0.11034482758620691,0.7551724137931034,0.07241379310344828,4.279310344827586,0.8724137931034484,3.382758620689655,1.8275862068965518,0.0,2.2,,0,0.0,0.0,a,,,0.0,,False
82,Kelleher,Caoimhín Kelleher,GK,4,50,90.0,4.2,3.62,0.0,0.0,36.2,18.2,0.0,1.986,1.0,0.0,0.0,0.2,1.6,0.6,0.0,0.0,1.4,10.4,38.0,2.6,,143,3.9,0.0,a,,,5.6,,True
83,Valdimarsson,Hákon Rafn Valdimarsson,GK,4,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.9,,1,1.0,0.0,a,,,0.1,,True
84,Collins,Nathan Collins,DEF,4,55,90.0,3.0,3.2399999999999998,4.2,4.8999999999999995,23.28,11.4,0.098,1.986,1.0,0.0,0.0,0.2,1.6,0.0,9.4,1.2,8.2,4.8,38.0,2.5,,129,3.7,0.0,a,,,2.0,,True
85,Van den Berg,Sepp van den Berg,DEF,4,50,55.6,2.8,2.6999999999999997,9.0,2.7600000000000002,15.4,13.2,0.20800000000000002,1.052,0.6,0.0,0.2,0.2,0.6,0.0,6.0,1.4,4.6,1.4,38.0,2.2,,113,3.5,0.0,a,,,0.7,,True
86,Lewis-Potter,Keane Lewis-Potter,MID,4,55,89.6,3.8,4.279999999999999,18.2,9.66,14.88,13.4,0.16799999999999998,1.786,1.0,0.0,0.4,0.2,1.6,0.4,3.4,0.8,2.6,6.0,38.0,2.0,,115,3.2,0.0,a,,,0.5,,True
87,Ajer,Kristoffer Ajer,DEF,4,45,36.2,1.2,0.96,0.8,0.16,8.64,3.0,0.002,0.938,0.4,0.0,0.0,0.0,1.0,0.0,4.8,0.4,4.4,1.8,38.0,1.7,,76,2.8,0.0,a,,,1.2,,True
88,Kayode,Michael Kayode,DEF,4,45,90.0,1.8,2.44,4.2,7.840000000000003,12.279999999999998,5.4,0.144,1.986,1.0,0.0,0.0,0.2,1.6,0.0,4.0,1.4,2.6,3.4,38.0,1.7,,113,3.1,0.0,a,,,4.1,,True
89,Henry,Rico Henry,DEF,4,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.7,,52,2.1,0.0,a,,,0.2,,True
90,Hickey,Aaron Hickey,DEF,4,45,18.2,0.8,0.42000000000000004,0.2,0.18,3.7600000000000002,2.2,0.008000000000000005,0.512,0.2,0.0,0.0,0.0,0.2,0.0,1.8,0.6,1.2,0.4,38.0,1.7,,37,1.8,0.0,a,,,0.1,,True
91,Pinnock,Ethan Pinnock,DEF,4,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.7,,14,3.5,0.0,a,,,0.1,,True
92,Ji-soo,Kim Ji-soo,DEF,4,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.7,,0,0.0,0.0,a,,,0.0,,True
